ds,y,y_predicted
2015-11-05 20:20:00,37,22
2015-11-05 20:25:00,47,22
2015-11-05 20:30:00,47,21
2015-11-05 20:35:00,43,20
2015-11-05 20:40:00,50,19
2015-11-05 20:45:00,43,19
2015-11-05 20:50:00,39,18
2015-11-05 20:55:00,38,17
2015-11-05 21:00:00,35,16
2015-11-05 21:05:00,38,15
2015-11-05 21:10:00,31,14
2015-11-05 21:15:00,43,14
2015-11-05 21:20:00,36,13
2015-11-05 21:25:00,32,12
2015-11-05 21:30:00,27,11
2015-11-05 21:35:00,39,10
2015-11-05 21:40:00,35,9
2015-11-05 21:45:00,31,8
2015-11-05 21:50:00,33,7
2015-11-05 21:55:00,37,6
2015-11-05 22:00:00,21,5
2015-11-05 22:05:00,27,4
2015-11-05 22:10:00,36,3
2015-11-05 22:15:00,26,2
2015-11-05 22:20:00,25,2
2015-11-05 22:25:00,27,1
2015-11-05 22:30:00,27,0
2015-11-05 22:35:00,18,0
2015-11-05 22:40:00,20,-1
2015-11-05 22:45:00,21,-2
2015-11-05 22:50:00,26,-2
2015-11-05 22:55:00,23,-3
2015-11-05 23:00:00,18,-4
2015-11-05 23:05:00,13,-4
2015-11-05 23:10:00,23,-5
2015-11-05 23:15:00,22,-6
2015-11-05 23:20:00,11,-6
2015-11-05 23:25:00,23,-7
2015-11-05 23:30:00,19,-7
2015-11-05 23:35:00,20,-8
2015-11-05 23:40:00,19,-8
2015-11-05 23:45:00,14,-9
2015-11-05 23:50:00,13,-9
2015-11-05 23:55:00,13,-9
2015-11-06 00:00:00,13,-10
2015-11-06 00:05:00,15,-10
2015-11-06 00:10:00,12,-10
2015-11-06 00:15:00,19,-11
2015-11-06 00:20:00,11,-11
2015-11-06 00:25:00,10,-11
2015-11-06 00:30:00,14,-12
2015-11-06 00:35:00,17,-12
2015-11-06 00:40:00,18,-12
2015-11-06 00:45:00,9,-12
2015-11-06 00:50:00,6,-13
2015-11-06 00:55:00,10,-13
2015-11-06 01:00:00,20,-13
2015-11-06 01:05:00,8,-13
2015-11-06 01:10:00,7,-14
2015-11-06 01:15:00,11,-14
2015-11-06 01:20:00,12,-14
2015-11-06 01:25:00,11,-14
2015-11-06 01:30:00,7,-15
2015-11-06 01:35:00,13,-15
2015-11-06 01:40:00,7,-15
2015-11-06 01:45:00,12,-16
2015-11-06 01:50:00,10,-16
2015-11-06 01:55:00,1,-16
2015-11-06 02:00:00,3,-17
2015-11-06 02:05:00,9,-17
2015-11-06 02:10:00,3,-17
2015-11-06 02:15:00,3,-18
2015-11-06 02:20:00,4,-18
2015-11-06 02:25:00,9,-19
2015-11-06 02:30:00,5,-19
2015-11-06 02:35:00,6,-19
2015-11-06 02:40:00,4,-20
2015-11-06 02:45:00,8,-20
2015-11-06 02:50:00,3,-20
2015-11-06 02:55:00,8,-21
2015-11-06 03:00:00,9,-21
2015-11-06 03:05:00,6,-22
2015-11-06 03:10:00,5,-22
2015-11-06 03:15:00,11,-22
2015-11-06 03:20:00,3,-22
2015-11-06 03:25:00,11,-23
2015-11-06 03:30:00,5,-23
2015-11-06 03:35:00,5,-23
2015-11-06 03:40:00,4,-23
2015-11-06 03:45:00,1,-23
2015-11-06 03:50:00,7,-23
2015-11-06 03:55:00,5,-23
2015-11-06 04:00:00,5,-23
2015-11-06 04:05:00,6,-23
2015-11-06 04:10:00,0,-23
2015-11-06 04:15:00,6,-23
2015-11-06 04:20:00,5,-22
2015-11-06 04:25:00,6,-22
2015-11-06 04:30:00,6,-22
2015-11-06 04:35:00,10,-21
2015-11-06 04:40:00,13,-21
2015-11-06 04:45:00,18,-20
2015-11-06 04:50:00,12,-19
2015-11-06 04:55:00,13,-19
2015-11-06 05:00:00,24,-18
2015-11-06 05:05:00,13,-17
2015-11-06 05:10:00,16,-16
2015-11-06 05:15:00,7,-15
2015-11-06 05:20:00,7,-14
2015-11-06 05:25:00,13,-13
2015-11-06 05:30:00,12,-12
2015-11-06 05:35:00,8,-10
2015-11-06 05:40:00,9,-9
2015-11-06 05:45:00,9,-8
2015-11-06 05:50:00,12,-6
2015-11-06 05:55:00,13,-5
2015-11-06 06:00:00,9,-3
2015-11-06 06:05:00,14,-2
2015-11-06 06:10:00,19,0
2015-11-06 06:15:00,28,0
2015-11-06 06:20:00,17,2
2015-11-06 06:25:00,24,3
2015-11-06 06:30:00,43,5
2015-11-06 06:35:00,29,7
2015-11-06 06:40:00,39,8
2015-11-06 06:45:00,45,10
2015-11-06 06:50:00,44,11
2015-11-06 06:55:00,50,13
2015-11-06 07:00:00,42,14
2015-11-06 07:05:00,44,16
2015-11-06 07:10:00,52,17
2015-11-06 07:15:00,54,19
2015-11-06 07:20:00,69,20
2015-11-06 07:25:00,69,21
2015-11-06 07:30:00,78,23
2015-11-06 07:35:00,76,24
2015-11-06 07:40:00,70,25
2015-11-06 07:45:00,90,26
2015-11-06 07:50:00,77,27
2015-11-06 07:55:00,64,28
2015-11-06 08:00:00,71,29
2015-11-06 08:05:00,70,30
2015-11-06 08:10:00,68,30
2015-11-06 08:15:00,72,31
2015-11-06 08:20:00,54,32
2015-11-06 08:25:00,56,32
2015-11-06 08:30:00,73,32
2015-11-06 08:35:00,63,33
2015-11-06 08:40:00,54,33
2015-11-06 08:45:00,51,33
2015-11-06 08:50:00,41,33
2015-11-06 08:55:00,58,33
2015-11-06 09:00:00,66,33
2015-11-06 09:05:00,66,33
2015-11-06 09:10:00,58,33
2015-11-06 09:15:00,60,33
2015-11-06 09:20:00,60,32
2015-11-06 09:25:00,64,32
2015-11-06 09:30:00,64,31
2015-11-06 09:35:00,62,31
2015-11-06 09:40:00,59,30
2015-11-06 09:45:00,42,30
2015-11-06 09:50:00,65,29
2015-11-06 09:55:00,61,29
2015-11-06 10:00:00,46,28
2015-11-06 10:05:00,43,27
2015-11-06 10:10:00,67,27
2015-11-06 10:15:00,55,26
2015-11-06 10:20:00,51,25
2015-11-06 10:25:00,63,25
2015-11-06 10:30:00,54,24
2015-11-06 10:35:00,43,23
2015-11-06 10:40:00,48,23
2015-11-06 10:45:00,54,22
2015-11-06 10:50:00,55,21
2015-11-06 10:55:00,50,21
2015-11-06 11:00:00,54,20
2015-11-06 11:05:00,54,19
2015-11-06 11:10:00,41,19
2015-11-06 11:15:00,53,18
2015-11-06 11:20:00,49,18
2015-11-06 11:25:00,54,17
2015-11-06 11:30:00,52,17
2015-11-06 11:35:00,36,17
2015-11-06 11:40:00,56,16
2015-11-06 11:45:00,46,16
2015-11-06 11:50:00,47,16
2015-11-06 11:55:00,50,16
2015-11-06 12:00:00,55,16
2015-11-06 12:05:00,46,16
2015-11-06 12:10:00,52,15
2015-11-06 12:15:00,50,15
2015-11-06 12:20:00,43,15
2015-11-06 12:25:00,43,16
2015-11-06 12:30:00,50,16
2015-11-06 12:35:00,39,16
2015-11-06 12:40:00,51,16
2015-11-06 12:45:00,33,16
2015-11-06 12:50:00,46,16
2015-11-06 12:55:00,41,17
2015-11-06 13:00:00,35,17
2015-11-06 13:05:00,50,17
2015-11-06 13:10:00,57,17
2015-11-06 13:15:00,50,18
2015-11-06 13:20:00,48,18
2015-11-06 13:25:00,51,18
2015-11-06 13:30:00,46,19
2015-11-06 13:35:00,52,19
2015-11-06 13:40:00,46,19
2015-11-06 13:45:00,50,20
2015-11-06 13:50:00,47,20
2015-11-06 13:55:00,67,20
2015-11-06 14:00:00,65,20
2015-11-06 14:05:00,45,21
2015-11-06 14:10:00,68,21
2015-11-06 14:15:00,48,21
2015-11-06 14:20:00,53,21
2015-11-06 14:25:00,60,22
2015-11-06 14:30:00,43,22
2015-11-06 14:35:00,55,22
2015-11-06 14:40:00,50,22
2015-11-06 14:45:00,47,22
2015-11-06 14:50:00,60,22
2015-11-06 14:55:00,40,22
2015-11-06 15:00:00,43,22
2015-11-06 15:05:00,62,23
2015-11-06 15:10:00,49,23
2015-11-06 15:15:00,49,23
2015-11-06 15:20:00,44,23
2015-11-06 15:25:00,55,23
2015-11-06 15:30:00,60,22
2015-11-06 15:35:00,44,22
2015-11-06 15:40:00,60,22
2015-11-06 15:45:00,45,22
2015-11-06 15:50:00,56,22
2015-11-06 15:55:00,48,22
2015-11-06 16:00:00,54,22
2015-11-06 16:05:00,63,22
2015-11-06 16:10:00,50,22
2015-11-06 16:15:00,58,22
2015-11-06 16:20:00,57,21
2015-11-06 16:25:00,51,21
2015-11-06 16:30:00,51,21
2015-11-06 16:35:00,54,21
2015-11-06 16:40:00,58,21
2015-11-06 16:45:00,44,21
2015-11-06 16:50:00,54,21
2015-11-06 16:55:00,46,21
2015-11-06 17:00:00,54,21
2015-11-06 17:05:00,51,21
2015-11-06 17:10:00,63,21
2015-11-06 17:15:00,55,21
2015-11-06 17:20:00,53,21
2015-11-06 17:25:00,51,21
2015-11-06 17:30:00,74,20
2015-11-06 17:35:00,63,20
2015-11-06 17:40:00,59,21
2015-11-06 17:45:00,60,21
2015-11-06 17:50:00,74,21
2015-11-06 17:55:00,65,21
2015-11-06 18:00:00,44,21
2015-11-06 18:05:00,61,21
2015-11-06 18:10:00,61,21
2015-11-06 18:15:00,58,21
2015-11-06 18:20:00,38,21
2015-11-06 18:25:00,58,21
2015-11-06 18:30:00,50,21
2015-11-06 18:35:00,60,21
2015-11-06 18:40:00,65,21
2015-11-06 18:45:00,46,21
2015-11-06 18:50:00,63,21
2015-11-06 18:55:00,50,21
2015-11-06 19:00:00,57,21
2015-11-06 19:05:00,51,21
2015-11-06 19:10:00,53,21
2015-11-06 19:15:00,48,20
2015-11-06 19:20:00,50,20
2015-11-06 19:25:00,59,20
2015-11-06 19:30:00,42,20
2015-11-06 19:35:00,40,20
